playerID,year,minutes,points,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,team_wins,team_losses,conference_rank,playoff_made,confID
castriz01w,10,915,488,75,67,36,2,83,75,445,184,91,71,18,16,2,1,0
catchta01w,3,1167,594,276,118,94,43,82,105,439,184,184,150,16,16,4,1,0
catchta01w,4,1210,671,272,114,72,35,102,122,512,221,183,155,16,18,5,0,0
catchta01w,5,1149,568,249,115,67,38,77,90,468,180,178,152,15,19,6,0,0
catchta01w,6,1174,501,264,143,90,16,91,96,410,157,193,152,21,13,2,1,0
catchta01w,7,1071,521,240,119,94,35,79,90,398,162,204,165,21,13,3,1,0
catchta01w,8,678,348,189,98,66,22,62,64,259,108,133,109,21,13,2,1,0
catchta01w,9,694,332,157,83,49,11,61,74,258,101,115,92,17,17,4,1,0
catchta01w,10,1084,512,245,107,99,18,88,92,407,157,181,158,22,12,1,1,0
caufila01w,3,65,19,5,1,7,0,8,13,15,6,2,2,20,12,3,1,1
chambco01w,8,1,0,0,0,0,0,2,0,0,0,0,0,18,16,3,1,0
chanequ01w,9,241,68,28,24,16,3,23,19,83,23,12,10,12,22,5,0,0
chapmji01w,3,119,22,26,0,3,2,8,20,27,10,3,2,9,23,8,0,0
choneka01w,5,115,28,17,4,1,4,11,13,27,11,11,6,17,17,4,1,0
choneka01w,6,61,14,6,1,1,0,4,9,14,6,3,2,16,18,5,0,0
choneka01w,7,16,0,0,0,0,0,1,4,2,0,0,0,18,16,4,1,1
chriska01w,3,413,120,80,15,24,13,32,73,95,48,35,24,11,21,7,0,1
chriska01w,4,659,206,126,16,25,16,39,104,161,78,83,50,8,26,7,0,1
chriska01w,5,407,50,69,23,21,7,26,89,49,19,19,12,17,17,5,0,1
chriska01w,6,108,18,22,7,7,5,10,25,15,7,7,4,16,18,5,0,1
chriska01w,7,88,18,19,4,0,0,11,21,16,8,2,2,18,16,3,1,1
chriska01w,7,53,3,14,2,3,1,5,14,6,1,2,1,18,16,5,0,1
chriska01w,8,212,48,43,7,10,5,21,59,48,20,18,8,14,20,6,0,0
chrissh01w,5,560,191,68,23,9,9,32,71,189,67,51,33,18,16,2,1,0
chrissh01w,6,809,311,92,41,33,19,50,100,270,111,76,65,18,16,3,1,0
chrissh01w,7,987,423,120,44,20,42,82,105,348,136,120,99,11,23,5,0,0
chrissh01w,8,1065,368,149,70,34,19,82,99,328,118,117,93,16,18,4,1,0
chrissh01w,9,947,488,94,51,35,17,61,93,385,153,134,111,19,15,3,1,0
chrissh01w,10,1014,514,156,56,28,27,56,102,383,154,148,128,13,21,7,0,0
cironkr01w,10,23,7,5,4,2,0,0,3,5,2,3,2,16,18,6,0,0
clearmi01w,1,509,57,37,77,34,2,14,36,45,14,27,19,20,12,4,1,1
clearmi01w,2,49,2,3,9,2,0,3,2,3,0,2,2,13,19,5,0,1
clinest01w,1,285,66,30,49,12,1,25,19,57,20,17,14,21,11,3,1,1
clinest01w,2,75,10,3,14,1,0,6,10,14,4,0,0,20,12,2,1,1
clinest01w,3,105,27,5,17,1,1,6,6,21,8,6,5,9,23,8,0,0
coggicl01w,8,196,49,16,8,5,1,19,28,77,19,4,1,14,20,6,0,0
cokermo01w,5,14,3,1,3,0,1,3,2,1,1,0,0,25,9,1,1,1
colemco01w,4,141,36,22,1,8,2,13,18,20,11,30,14,18,16,3,1,0
colemma01w,10,525,171,76,22,20,9,34,44,159,54,45,34,16,18,4,1,0
colleka01w,1,873,264,63,50,27,7,65,65,293,103,70,53,13,19,6,0,0
