playerID,year,team,minutes,games_played,total_points,total_rebounds,total_assists,points_per_min,assists_per_min,rebounds_per_min,steals_per_min,blocks_per_min,turnovers_per_min,FG%,FT%,Three%,Three Rate,team_wins,team_losses,conference_rank,playoff_made,confID,MVP_winner
mannkr01w,9,ATL,223,13,45,19,14,0.2017937219730941,0.0627802690582959,0.085201793721973,0.0358744394618834,0.0179372197309417,0.0627802690582959,0.4090909090909091,1.0,0.5,0.1818181818181818,4,30,7,0,0,0
mannkr01w,9,IND,31,5,2,4,1,0.064516129032258,0.032258064516129,0.1290322580645161,0.032258064516129,0.032258064516129,0.032258064516129,0.25,0.0,0.0,0.25,17,17,4,1,0,0
mannkr01w,10,WAS,95,16,25,14,6,0.2631578947368421,0.0631578947368421,0.1473684210526315,0.031578947368421,0.0,0.031578947368421,0.3571428571428571,1.0,0.2222222222222222,0.6428571428571429,16,18,4,1,0,0
mapprh01w,1,CHA,856,30,357,205,64,0.4170560747663551,0.0747663551401869,0.2394859813084112,0.0350467289719626,0.02803738317757,0.0689252336448598,0.46,0.8295454545454546,0.3636363636363636,0.0733333333333333,8,24,8,0,0,0
mapprh01w,2,LAS,395,30,126,79,14,0.3189873417721519,0.0354430379746835,0.2,0.040506329113924,0.0151898734177215,0.0632911392405063,0.4146341463414634,0.75,0.0,0.024390243902439,28,4,1,1,1,0
mapprh01w,4,LAS,255,24,62,68,6,0.2431372549019607,0.0235294117647058,0.2666666666666666,0.0274509803921568,0.0235294117647058,0.0470588235294117,0.5,0.5,0.0,0.0166666666666666,24,10,1,1,1,0
marcimi01w,1,POR,537,32,177,59,73,0.329608938547486,0.1359404096834264,0.1098696461824953,0.068901303538175,0.0111731843575419,0.1247672253258845,0.3766233766233766,0.5733333333333334,0.3333333333333333,0.3506493506493506,10,22,7,0,1,0
marcimi01w,2,SEA,392,27,132,38,47,0.336734693877551,0.1198979591836734,0.096938775510204,0.0765306122448979,0.0051020408163265,0.0765306122448979,0.3669064748201439,0.5405405405405406,0.303030303030303,0.237410071942446,10,22,8,0,1,0
marcimi01w,3,SEA,280,23,72,28,38,0.2571428571428571,0.1357142857142857,0.1,0.0392857142857142,0.0071428571428571,0.0892857142857142,0.3529411764705882,0.7586206896551724,0.25,0.1176470588235294,17,15,4,1,1,0
martima01w,1,MIN,456,30,132,67,21,0.2894736842105263,0.0460526315789473,0.1469298245614035,0.0372807017543859,0.0285087719298245,0.0635964912280701,0.4576271186440678,0.59375,0.2631578947368421,0.1610169491525423,15,17,6,0,1,0
